title,url,date,description,query
168 4L @LilZaki168 · Feb 28,https://x.com/LilZaki168/status/2027800896558584270,2026-02-28T17:39:43.000Z,Jugando al true skate en el mapa de macba en macba,MACBA skate
Claudia Palma @unaklaudia · Feb 16,https://x.com/unaklaudia/status/2023171263896711394,2026-02-15T23:03:12.000Z,"Consideren como ejemplo al MACBA en Barcelona, especialmente la Plaza de los Ángeles. Su arquitectura minimalista -suelo liso, planos inclinados, y escaleras amplias- lo hizo ideal para el street skate. Galería x dentro, cultura viva x fuera. Resignifiquemos el espacio público.",MACBA skate
HopefulofNFTs @HopefulofNFTs · Feb 6,https://x.com/HopefulofNFTs/status/2019679511802003477,2026-02-06T07:48:14.000Z,"Announcing ""Skate Style,"" a realistic physics-based skateboarding game from Zellah Games (led by ex-Skate City developer Daniel Zeller), featuring dual-analog foot controls for precise tricks and manuals in recreated spots like Barcelona's MACBA.A standout feature is the",MACBA skate
logicgate @thelogicalgate · Feb 6,https://x.com/thelogicalgate/status/2019581309879034109,2026-02-06T01:18:00.000Z,Hey not sure if it was intentional but is there a reason why we can only play Macba in the tutorial and not in free skate after?,MACBA skate
"CIUTAT VILLIN’ @757doofus · Dec 16, 2025",https://x.com/757doofus/status/2000834271045673365,2025-12-16T07:43:58.000Z,Im now the guy that jus shows up to MACBA to skate flatground and do 5050s and im ngl it feels nice.,MACBA skate
"SuifutoRemon @SuifutoRemon · Dec 15, 2025",https://x.com/SuifutoRemon/status/2000519126754685092,2025-12-15T10:51:42.000Z,"Llamar niños a inmigrantes ilegales que lo único que saben hacer es robar.
Le menos delictivo que hacen es ponerse con el skate molestando al resto de transeúntes.
Hace como 10 años fui por la zona del Macba con una amiga de entonces y ya estaba infestado de “amego segarro”.",MACBA skate
"MargaB @MargaBTweet · Nov 21, 2025",https://x.com/MargaBTweet/status/1991705856443060371,2025-11-21T03:10:54.000Z,"Els ""skate"" al MACBA? Deu meu.",MACBA skate
"gigi ★★⁶⁵ @neozstellar · Nov 17, 2025",https://x.com/neozstellar/status/1990349700638355477,2025-11-17T09:22:02.000Z,mv grabado en el skate park del macba,MACBA skate
"gigi ★★⁶⁵ @neozstellar · Nov 6, 2025",https://x.com/neozstellar/status/1986449776980742499,2025-11-06T15:05:07.000Z,el es tan quedamos en el macba para darle al skate pff (se caería),MACBA skate
"David Freeman @F_DaVid_A · Sep 27, 2025",https://x.com/F_DaVid_A/status/1971838499478556947,2025-09-27T07:25:07.000Z,"Mira el hilo, subnormal. He mamado Raval desde los 18 y a todos los niveles. Comía cada semana en El Fidel, he cerrado el Manchester de Joaquim muchas veces, tengo medio armario del Flamingos y me pasaba tardes enteras con el skate en el Macba...",MACBA skate
"Orangegrass @Orangegrass3 · Sep 26, 2025",https://x.com/Orangegrass3/status/1971587105274069453,2025-09-26T14:46:10.000Z,Tenim l'skate park més car del món: el MACBA.,MACBA skate
"Ministylo @ministylo89 · Sep 26, 2025",https://x.com/ministylo89/status/1971525611559731663,2025-09-26T10:41:49.000Z,Skate. no tiene errores de conexión. Esta en modo MACBA predeterminado,MACBA skate
"kedicestio @UrLocalLoy · Sep 2, 2025",https://x.com/UrLocalLoy/status/1962984900723929520,2025-09-02T21:04:05.000Z,dale un cigarro y un skate y está garchomo spawnea por macba tirándole a menores,MACBA skate
"MR.GAUGHTER @MRGAUGHTER · Sep 2, 2025",https://x.com/MRGAUGHTER/status/1962975327644483865,2025-09-02T20:26:03.000Z,Funny I got robbed in Barcelona but I’m a true skater since 2012 and Damm right I’m going back 2026 I’ll be back in Barcelona baby and I will be skating Macba !!!! Best skate spot in the fucking world !!!!!,MACBA skate
"Paul @arpeegee · Sep 2, 2025",https://x.com/arpeegee/status/1962855916581036340,2025-09-02T12:31:33.000Z,one thing I like more as a skating teenager in THPS rather than Skate was the locations. You get to travel in these games. If you could cram Macba/Carlsbad/Trocadéro/NYC banks/Venice/Bangkok... in one game it'd be very cool,MACBA skate
"Marc G @MarcG1858245377 · Aug 23, 2025",https://x.com/MarcG1858245377/status/1959166447608848723,2025-08-23T08:10:55.000Z,"Tenen la plaça dels Àngels però allò no ho tocaran perquè quatre guiris pijos facin el merda amb la skate  i els quatre paràsits del Macba fassin de artista, però que has de saber tu que no saps ni on para el Raval",MACBA skate
"chakib @farfadetsombre · Jul 23, 2025",https://x.com/farfadetsombre/status/1948056226983776271,2025-07-23T16:22:52.000Z,Rien à foutre j’achète une planche faut ABSOLUMENT que je skate à Macba une fois ds ma vie #enfin #contratbakersoon,MACBA skate
"MorcillaDel @del_morcilla · Jul 10, 2025",https://x.com/del_morcilla/status/1943417578270933425,2025-07-10T21:10:32.000Z,I played a game of skate against J.Thomas at Macba and I was getting him to the ropes and then he said he was going to skate other spots with the team. Another time Papalardo confused me with P.J.Ladd at Paralel lol me and my bruh were tripping balls over it,MACBA skate
"CIUTAT VILLIN’ @757doofus · Jun 1, 2025",https://x.com/757doofus/status/1929149702819213487,2025-06-01T12:15:05.000Z,Macba getting easier to skate. I feel good about this.,MACBA skate
"CryptHauss @PierreH2S · May 13, 2025",https://x.com/PierreH2S/status/1922051790914175002,2025-05-12T22:10:31.000Z,Ce sont des skater Français au spot de skate MACBA,MACBA skate
"@pubcsb · May 12, 2025",https://x.com/pubcsb/status/1922045317316214982,2025-05-12T21:44:48.000Z,Macba a Barcelone spot de skate,MACBA skate
"Surya and Soul @suryaandsoul · Dec 31, 2025",https://x.com/suryaandsoul/status/2006334529611391463,2025-12-31T12:00:02.000Z,"Brayan Albarenga drops a killer new Thunder Trucks part showcasing insane board control, style, and raw talent from start to finish. Check it all out here",MACBA skateboarding
"Wizard of Gnars @WizardofGnars · Jul 25, 2025",https://x.com/WizardofGnars/status/1948850776253640850,2025-07-25T21:00:07.000Z,"From EMB to Hubba Hideout, these spots shaped skateboarding history. El Toro's 20 stairs tested the bravest, while Love Park defined an era. Wallenberg, Carlsbad, and China Banks each wrote their chapters. Burnside, Brooklyn Banks, and MACBA remain sacred grounds.",MACBA skateboarding
"Trickon @TrickonSports · Apr 1, 2025",https://x.com/TrickonSports/status/1907144647136219254,2025-04-01T18:54:51.000Z,"@TransWorldSKATE
 x Magba Life: Un tributo al skateboarding en Barcelona",MACBA skateboarding
"Boardiccion_es @Boardiccion_es · Apr 1, 2025",https://x.com/Boardiccion_es/status/1907042993216881017,2025-04-01T12:10:55.000Z,"El próximo jueves 3 de abril en Barcelona (The Station Bcn,  Carrer de Sant Bertran, 14, Local 1, Ciutat Vella, 08001 Barcelona).  Video premiere … Transworld Skateboarding + Macba Life. A partir de las 20:00
#skateboarding #skateboard #Barcelona 

https://
eventos.inseguridad.org/video-premiere
-transworld-macba-life/
…",MACBA skateboarding
"El Cuñado @Leosoki · Feb 26, 2025",https://x.com/Leosoki/status/1894883197588230504,2025-02-26T22:52:14.000Z,"SAVE MACBA 
https://
chng.it/tbKJWgzG via 
@change_es
 #sk8 #skateboarding #art #architecture #skate #MACBA",MACBA skateboarding
"Boardiccion_es @Boardiccion_es · Jan 7, 2025",https://x.com/Boardiccion_es/status/1876709573731479795,2025-01-07T19:16:44.000Z,"https://
eventos.inseguridad.org/se-acabaron-la
s-5-del-macba/
…
#skateboarding #skateboard",MACBA skateboarding
"Joakim Ekström @JoakimEkstroem · Jan 2, 2025",https://x.com/JoakimEkstroem/status/1874840976000504006,2025-01-02T15:31:36.000Z,"Purgatory.. 

#sidefx #houdini #skateboarding #redshift #redshift3d #lighting #cinematography #cg #3d #leftover #macba",MACBA skateboarding
"kim @cayoteee · Oct 17, 2024",https://x.com/cayoteee/status/1846911275277996496,2024-10-17T13:48:56.000Z,"Línea en el MACBA  #skateboarding #goskateboardingday #happy #skate... 
https://
youtube.com/shorts/GZtqQVG
Tepk?si=KWPTMOWqlJF-WjOV
… via 
@YouTube",MACBA skateboarding
"_sk8r @_sk8r · Sep 16, 2024",https://x.com/_sk8r/status/1835716304361464267,2024-09-16T16:24:07.000Z,"""MACBA Back to the 4"" Contest in Barcelona, Spain | Video Recap - Australian Skateboarding 
http://
dlvr.it/TDJQR8",MACBA skateboarding
"mariosk8 @mariosk814 · Jul 21, 2024",https://x.com/mariosk814/status/1815111443869843492,2024-07-21T19:47:46.000Z,"Went to MACBA to do this 
First try 
#skateboarding",MACBA skateboarding
"Dominic Hynard @dominic_hynard · Jul 9, 2024",https://x.com/dominic_hynard/status/1810701440362373144,2024-07-09T15:43:59.000Z,"It's officially banned at night due to noise, but the guardia are known for making their own times up so the curfew is generally nighttime 


https://
catalannews.com/society-scienc
e/item/barcelona-extends-nighttime-ban-on-skateboarding-beside-macba
…",MACBA skateboarding
"Czarface @Czarface42033 · Jun 18, 2024",https://x.com/Czarface42033/status/1803181590908117467,2024-06-18T21:42:47.000Z,Check out MACBA... Not for the art but for the skateboarding,MACBA skateboarding
"Boardriders @boardridersss · Feb 1, 2025",https://x.com/boardridersss/status/1885638232861266302,2025-02-01T10:36:02.000Z,"El skateboarding en Barcelona enfrenta un nuevo desafío. 

El icónico MACBA Skate Plaza podría cambiar para siempre con su próxima remodelación. ¿Ya sumaste tu apoyo? 


https://
change.org/p/save-macba?f
bclid=PAZXh0bgNhZW0CMTEAAaZSGUumUEnzB-0rb1PTvvDs1pnwdzZauKzoIXVnO7RQAzv28ifGBsYYBzY_aem_37SjhWGt_4_txGWLbu8DYA
…

#SaveMACBA #SkateboardingBarcelona #SkatePlaza #Skate #MACBA",MACBA barcelona skate
"Trickon @TrickonSports · Feb 1, 2025",https://x.com/TrickonSports/status/1885623367295758796,2025-02-01T09:36:58.000Z,"En peligro el #skateboarding en Barcelona. 

El skate plaza MACBA está en proyecto de remodelación completa...  ¿Ya firmaste?


https://
change.org/p/save-macba?f
bclid=PAZXh0bgNhZW0CMTEAAaZSGUumUEnzB-0rb1PTvvDs1pnwdzZauKzoIXVnO7RQAzv28ifGBsYYBzY_aem_37SjhWGt_4_txGWLbu8DYA
… #MACBA #skatelife",MACBA barcelona skate
"RTVE Notícies @rtvenoticies · Dec 15, 2024",https://x.com/rtvenoticies/status/1868285193246650547,2024-12-15T13:21:15.000Z,"A mitjans de gener començaran les obres d'ampliació del MACBA i s'allargaran 2 anys

  Uns treballs que afectaran la plaça dels Àngels, l'espai predilecte dels amants de l'skate |  
@rnavarrox
  
@MACBA_Barcelona
 

 Notícies a 
http://
rtve.cat",MACBA barcelona skate
"Eva Gea @eva_gea · May 13, 2024",https://x.com/eva_gea/status/1790074972364304870,2024-05-13T17:41:46.000Z,"13/20
MACBA - CORAZÓN DEL SKATE EN BARCELONA

Descubre cómo el Museo de Arte Contemporáneo de Barcelona combina arte vanguardista con una plaza icónica  para skaters. Un punto de encuentro único que refleja la vibrante  cultura urbana de Barcelona. #SkateBarcelona",MACBA barcelona skate
"Daniela Djuric @djuric_dan5976 · May 3, 2024",https://x.com/djuric_dan5976/status/1786449287498416556,2024-05-03T17:34:35.000Z,"during Corona Barcelona was completely different, locals only, it was way better than now, the Asians sexually harass women at MACBA now, go to the skate corner under the roof of MACBA or somewhere where there is CCTV so u dont get sexually harassed",MACBA barcelona skate
"Àlex Gutiérrez Páez @alexgutierrezpz · Mar 31, 2024",https://x.com/alexgutierrezpz/status/1774432844577681920,2024-03-31T13:45:32.000Z,"Parlem amb Dani Lebrón, jutge olímpic d'skate, comerços del Raval i 
@NoMacba
 per analitzar l'impacte que l'ampliació del museu tindria per a una de les icones mundials d'aquest esport.


@EFEnoticias
 via 
@elperiodico_cat",MACBA barcelona skate
"Phoenix Burns-lewis @meneitherl · Mar 24, 2024",https://x.com/meneitherl/status/1771849557304914207,2024-03-24T10:40:28.000Z,"3 Tricks in Barcelona  #skateboarding #skateboard #skate #macba #sk8 
https://
youtube.com/shorts/cOYJqES
VKgw?si=MyGpgpYoi6qrR0kE
… via 
@YouTube",MACBA barcelona skate
"AS Acción @AsAccion · Mar 11, 2024",https://x.com/AsAccion/status/1767276215415525458,2024-03-11T19:47:38.000Z,"El Ayuntamiento de Barcelona anuncia el proyecto con el que el mítico muro dejará de ser un paraíso skater para convertirse en zona de estancia y verde. 
http://
dozz.es/k_cjv2",MACBA barcelona skate
"Catalan News @catalannews · Mar 9, 2024",https://x.com/catalannews/status/1766538230889840853,2024-03-09T18:55:09.000Z,"| Barcelona targets world-famous unofficial skate park to end 'monopoly' of skaters

Redevelopment plans include new health center, MACBA expansion and more green spaces",MACBA barcelona skate
"Ignacio Araújo @IgnacioAraujo1 · Mar 8, 2024",https://x.com/IgnacioAraujo1/status/1766067014236283082,2024-03-08T11:42:42.000Z,"Adiós al 
@MACBA_Barcelona
 como epicentro mundial del skate  
https://
as.com/deportes_accio
n/urbano/adios-al-macba-como-epicentro-mundial-del-skate-n/
…",MACBA barcelona skate
"Catalan News @catalannews · Mar 4, 2024",https://x.com/catalannews/status/1764711438403117476,2024-03-04T17:56:08.000Z,"| Barcelona targets world-famous unofficial skate park to end 'monopoly' of skaters

Redevelopment plans include new health center, MACBA expansion and more green spaces",MACBA barcelona skate
"Ignasi Fortuny @ignasifortuny · Feb 23, 2025",https://x.com/ignasifortuny/status/1893752445911626088,2025-02-23T19:59:01.000Z,"Una mica d’història de la plaça del Macba més enllà del skate. Retorn als orígens de la llegenda. 

BACK TO THE CLASSICS:

Quan la plaça del Macba va ser l’oficina del trap 
https://
elperiodico.com/es/ocio-y-cult
ura/20250222/plaza-macba-skate-oficina-trap-pxxr-gvng-114476288?utm_source=twitter&utm_medium=social&utm_campaign=btn-share
… a través de 
@elperiodico",skate MACBA plaza
"CIUTAT VILLIN’ @757doofus · Jan 13, 2025",https://x.com/757doofus/status/1878772866461860184,2025-01-13T11:55:31.000Z,"AYYE, THEYRE TRYNA DESTROY MACBA. THE LAST DAYS COULD POTENTIALLY BE AMONG US FOR ENJOYING THIS CLASSIC SPOT. I KNO MAD HOMIES STILL HOPING TO COME AND SKATE IT IN PERSON. EVEN IF YOU NEVER SET FOOT HERE PLEASE LEND A SIGNATURE TO HELP SAVE THE PLAZA.",skate MACBA plaza
"El Periódico @elperiodico · Nov 9, 2022",https://x.com/elperiodico/status/1590314449998594048,2022-11-09T12:04:46.000Z,"Barcelona amplía el veto a los monopatines en la plaza del MACBA

 La práctica de 'skate' queda desterrada de 22 a 09 horas del amplio espacio público del Raval


http://
elperiodi.co/vhfvq1",skate MACBA plaza
